net,length_um
_3341_,74.62
sh0\[4\],74.48
_2902_,74.42
clknet_leaf_58_clk,74.36
sh15\[5\],74.32
_2055_,74.28
clknet_leaf_36_clk,74.12
_1348_,73.65
sh2\[0\],73.54
_4121_,73.24
s1\[2\],73.2
clknet_leaf_30_clk,73.2
sh5\[2\],73.15
_1422_,73.12
_0110_,73.06
clknet_leaf_55_clk,72.94
_3451_,72.865
_1277_,72.86
_3700_,72.86
_2052_,72.805
_4152_,72.22
clknet_leaf_28_clk,71.6
clknet_leaf_3_clk,71.29
_0992_,71.28
s0\[9\],71
_0925_,70.7
_3976_,70.69
net36,70.66
_0750_,70.52
_2664_,70.16
_1354_,69.98
_0111_,69.955
_4143_,69.38
net28,68.46
_1434_,68.42
clknet_leaf_18_clk,67.86
_3717_,67.82
_2711_,67.62
_3050_,67.48
_3712_,67.46
_3092_,67.03
sh10\[0\],67
sh7\[6\],66.9
sh12\[6\],66.6
sh3\[2\],66.42
clknet_leaf_51_clk,66.42
led[15],66.37
clknet_leaf_35_clk,66.2
s7\[11\],66.18
_0927_,66.175
_1667_,66.1
_0793_,66.08
_3701_,66.02
_0968_,65.88
clknet_leaf_43_clk,65.74
sh6\[0\],65.6
_0946_,65.28
_2871_,65.215
clknet_leaf_7_clk,65.18
net345,65.18
sh0\[2\],64.88
clknet_leaf_61_clk,64.22
s2\[7\],64.12
sh2\[7\],64.1
_2298_,64.07
sh10\[3\],63.84
_0155_,63.48
_2501_,63.3
sh14\[5\],63.26
_2163_,63.185
_2107_,63.18
_2342_,63.12
_3288_,63.12
_2986_,63.06
sh7\[4\],62.755
_3333_,62.68
sh3\[6\],62.62
_2487_,62.54
_3495_,62.36
_2090_,62.3
net204,61.885
_2868_,61.66
_0188_,61.64
_2772_,61.58
net177,61.48
clknet_leaf_6_clk,61.38
sh3\[5\],61.1
_4145_,61.08
_1239_,60.57
_4155_,60.33
_4158_,60.02
net359,59.92
_0904_,59.91
sh13\[2\],59.86
_1837_,59.54
_2910_,59.42
_3364_,59.35
_1652_,59.3
_2481_,59.26
_1336_,59
_2192_,58.875
final_sum\[0\],58.82
sh1\[1\],58.66
clknet_leaf_34_clk,58.6
_1717_,58.56
s7\[10\],58.48
_0897_,58.3
_1001_,58.16
_1296_,58.08
_2884_,58.04
_3797_,58.02
_1651_,57.92
sh0\[6\],57.88
_3732_,57.73
_2339_,57.57
_2610_,57.54
final_sum\[14\],57.52
_4154_,57.46
_2120_,57.42
net181,57.4
_2249_,57.36
_2329_,57.32
_2279_,57.28
_3780_,57.095
_2286_,57.06
_0855_,56.93
_3822_,56.82
_3961_,56.7
_2221_,56.66
_1623_,56.65
sh9\[6\],56.34
net420,56.3
sh2\[4\],56.24
s1\[4\],56.08
_0937_,55.99
clknet_leaf_20_clk,55.9
_2639_,55.755
_1395_,55.7
sh9\[5\],55.62
_0105_,55.5
_2311_,55.5
_0836_,55.4
_1664_,55.36
_1847_,55.36
sh10\[5\],55.14
_3660_,55.055
_2909_,54.98
_2285_,54.88
_3053_,54.62
_0787_,54.56
s7\[12\],54.5
_3503_,54.265
_2215_,54.12
clknet_leaf_38_clk,54.04
net375,53.96
clknet_leaf_49_clk,53.94
net220,53.9
_3192_,53.88
_2063_,53.76
clknet_leaf_25_clk,53.58
_3710_,53.5
s3\[3\],53.5
_0776_,53.44
sh8\[3\],53.32
_0949_,53.2
clknet_leaf_11_clk,53.16
_1339_,53.14
_2167_,52.94
_0151_,52.88
_1278_,52.84
_1125_,52.8
_1377_,52.7
_3248_,52.52
_1710_,52.32
_3749_,52.28
_2110_,52.13
s0\[6\],52.12
sh10\[2\],52.12
_1679_,52.08
s7\[9\],52
_1041_,51.96
net373,51.96
_0770_,51.88
_3354_,51.7
_3292_,51.54
final_sum\[1\],51.46
clknet_leaf_41_clk,51.36
_2533_,51.2
_2720_,51.12
final_sum\[15\],51.12
clknet_leaf_2_clk,51.12
s2\[2\],50.8
_1473_,50.72
net266,50.68
_3025_,50.66
sh8\[5\],50.58
_2581_,50.5
_1736_,50.435
_1009_,50.42
_3838_,50.42
_3360_,50.295
clknet_leaf_42_clk,50.28
_0822_,50.26
_3507_,50.14
_2983_,50.08
_3325_,50.06
_0891_,49.96
_0154_,49.9
_1357_,49.81
sh10\[7\],49.74
_2037_,49.66
_2077_,49.66
_1464_,49.5
_2594_,49.49
_0755_,49.48
_2688_,49.46
net428,49.44
_3709_,49.42
_3862_,49.42
sh9\[7\],49.38
_3986_,49.36
_1720_,49.33
_0954_,49.24
net174,49.24
_0734_,49.18
_3637_,49.08
net284,49.06
_2079_,48.98
_2162_,48.92
net184,48.9
_1226_,48.78
_1275_,48.64
_3305_,48.54
_0863_,48.5
net319,48.48
_0818_,48.4
final_sum\[13\],48.4
_4070_,48.38
_3559_,48.34
_3574_,48.32
sh12\[3\],48.32
net172,48.32
_2683_,48.2
s4\[4\],48.14
_3491_,47.93
_2345_,47.92
_0760_,47.895
_0766_,47.88
_3079_,47.88
sh11\[5\],47.84
_3433_,47.835
_2870_,47.83
_1398_,47.82
_2749_,47.77
net305,47.76
_2638_,47.68
_2479_,47.64
final_sum\[2\],47.62
s3\[4\],47.58
_3029_,47.56
_3979_,47.56
carry2\[10\],47.56
_2517_,47.455
_1909_,47.44
_2631_,47.42
_0802_,47.18
_3361_,47.1
_3769_,46.98
net367,46.98
_0950_,46.9
_2101_,46.88
